simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0044;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0044;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_2+1_1b_3;0.0001136025;T30;NO;;1.53802;0.0264044;0.498128;0.18791
sim_0045;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0045;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_0;0.00088434;T30;NO;;1.62523;0.031742;0.496325;0.898256
sim_0046;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0046;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_1;0.00015606;T30;NO;;1.62126;0.0319607;0.496295;0.899327
sim_0047;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0047;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_2;0.00015606;T30;NO;;1.62237;0.0320685;0.496289;0.899848
sim_0048;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0048;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_0;0.00088434;T30;NO;;1.53505;0.0271651;0.49688;0.688816
sim_0049;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0049;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_1;0.00015606;T30;NO;;1.5361;0.0273379;0.496896;0.689404
sim_0050;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0050;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_2;0.00015606;T30;NO;;1.53871;0.0276286;0.496835;0.69047
sim_0051;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0051;scenario1;1_1b;1_1a-1_1a_1+1_1a_2+1_1a_3__1_1b-1_1b_0;0.00015606;T30;NO;;1.54889;0.028324;0.496788;0.58655
sim_0052;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0052;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_0;0.478494277708;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0053;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0053;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_1;0.00434555852611;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0054;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0054;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_2;0.00434555852611;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0055;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0055;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_3;0.00434555852611;T30;NO;;1.64042;0.0294045;0.499899;0.00295555
sim_0056;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0056;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_4;0.00434555852611;T30;NO;;1.11817;0.0124928;0.377253;10.2563
sim_0057;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0057;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_0;0.0844401666544;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0058;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0058;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_1;0.000766863269313;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0059;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0059;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_2;0.000766863269313;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0060;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0060;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_3;0.000766863269313;T30;NO;;1.64043;0.0294045;0.499899;0.0028279
sim_0061;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0061;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_4;0.000766863269313;T30;NO;;1.1255;0.0157357;0.373956;9.73598
sim_0062;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0062;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0;0.0844401666544;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0063;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0063;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_1;0.000766863269313;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0064;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0064;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_2;0.000766863269313;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0065;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0065;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_3;0.000766863269313;T30;NO;;1.64039;0.0294045;0.499899;0.0027887
sim_0066;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0066;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_4;0.000766863269313;T30;NO;;1.12462;0.0151079;0.375124;6.69051
sim_0067;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0067;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_3__1_2a-1_2a_0;0.0199372615712;T30;NO;;1.64313;0.0370972;0.496409;0.635202
sim_0068;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_2a\sim_0068;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_3__1_2a-1_2a_1;0.000181064938588;T30;NO;;1.63934;0.040595;0.496158;0.662832
