simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_6165;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6165;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56804;0.0776169;0.322968;0.216135
sim_6166;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6166;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56802;0.0776159;0.322967;0.216135
sim_6167;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6167;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00121500319815;Q14_7;YES;SonSto_porte;4.56802;0.0776162;0.322967;0
sim_6168;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6168;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_1;0.000105652452013;Q14_7;YES;SonSto_porte;4.56004;0.0776697;0.232491;0
sim_6169;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6169;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_2;0.000105652452013;Q14_7;YES;SonSto_porte;3.00225;0.0776642;0.258091;0
sim_6170;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6170;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_1__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;4.56004;0.0776697;0.232491;0
sim_6171;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6171;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_2__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;3.00225;0.0776642;0.258091;0
sim_6172;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6172;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;2.45874;0.0775276;0.0790703;0
sim_6173;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6173;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_0__1_4a-1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;4.56004;0.0776579;0.23303;0
sim_6174;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6174;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56802;0.0776154;0.322967;0
sim_6175;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6175;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_2__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56802;0.0776134;0.322967;0
sim_6176;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6176;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1+1_3a_2__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56802;0.0776126;0.322967;0.142146
sim_6177;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6177;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00199161505046;Q14_7;NO;;1.87775;0.077063;0.401484;0
sim_6178;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6178;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_1;0.000173183917432;Q14_7;NO;;2.10166;0.0772105;0.263785;0
sim_6179;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6179;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_2;0.000173183917432;Q14_7;YES;SonSto_porte;1.19986;0.0776519;0.335491;0
sim_6180;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6180;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_1__1_5a-1_5a_0__1_6a-1_6a_0;0.000173183917432;Q14_7;NO;;2.10166;0.0772105;0.263785;0
sim_6181;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6181;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_2__1_5a-1_5a_0__1_6a-1_6a_0;0.000173183917432;Q14_7;YES;SonSto_porte;1.19986;0.0776519;0.335491;0
sim_6182;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6182;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_2+1_2b_3__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000324216403564;Q14_7;YES;SonSto_porte;2.01552;0.0776508;0.0865124;0
