simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0035;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0035;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_2;0.00088434;T3;NO;;YES;50.84;Node Brunnm_Fassung (50.84%), Node Brunnmuehle(Teich) (50.84%), Node Fensterstollen (50.84%), Node Gischeren (50.84%), Node Schuettstein (50.84%);1.3871;0.0335058;0.406244;0.17835
sim_0036;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0036;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_3;0.0002088025;T3;NO;;YES;52.72;Node Brunnm_Fassung (52.72%), Node Brunnmuehle(Teich) (52.72%), Node Fensterstollen (52.72%), Node Gischeren (52.72%), Node Schuettstein (52.72%);1.414;0.0339824;0.405894;0.29083
sim_0037;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0037;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_1+1_1b_2;0.00015606;T3;NO;;YES;50.84;Node Brunnm_Fassung (50.84%), Node Brunnmuehle(Teich) (50.84%), Node Fensterstollen (50.84%), Node Gischeren (50.84%), Node Schuettstein (50.84%);1.3871;0.0335058;0.406244;0.17835
sim_0038;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0038;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_0;0.01544994;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0039;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0039;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1;0.00272646;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0040;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0040;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_2;0.00272646;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0041;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0041;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_3;0.0006437475;T3;NO;;YES;50.44;Node Brunnm_Fassung (50.44%), Node Brunnmuehle(Teich) (50.44%), Node Fensterstollen (50.44%), Node Gischeren (50.44%), Node Schuettstein (50.44%);1.43653;0.0338341;0.406322;0.0778442
sim_0042;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0042;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1+1_1b_2;0.00048114;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0043;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0043;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1+1_1b_3;0.0001136025;T3;NO;;YES;50.04;Node Brunnm_Fassung (50.04%), Node Brunnmuehle(Teich) (50.04%), Node Fensterstollen (50.04%), Node Gischeren (50.04%), Node Schuettstein (50.04%);1.4456;0.0339369;0.406324;0.0606691
sim_0044;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0044;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_2+1_1b_3;0.0001136025;T3;NO;;YES;46.27;Node Brunnm_Fassung (46.27%), Node Brunnmuehle(Teich) (46.27%), Node Fensterstollen (46.27%), Node Gischeren (46.27%), Node Schuettstein (46.27%);1.37613;0.0369444;0.406039;0.0549757
sim_0045;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0045;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_0;0.00088434;T3;NO;;YES;49.91;Node Brunnm_Fassung (49.91%), Node Brunnmuehle(Teich) (49.91%), Node Fensterstollen (49.91%), Node Gischeren (49.91%), Node Schuettstein (49.91%);1.41244;0.0336779;0.406232;0.148481
sim_0046;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0046;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_1;0.00015606;T3;NO;;YES;50.18;Node Brunnm_Fassung (50.18%), Node Brunnmuehle(Teich) (50.18%), Node Fensterstollen (50.18%), Node Gischeren (50.18%), Node Schuettstein (50.18%);1.41233;0.0336778;0.406232;0.148481
sim_0047;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0047;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_2;0.00015606;T3;NO;;YES;50.09;Node Brunnm_Fassung (50.09%), Node Brunnmuehle(Teich) (50.09%), Node Fensterstollen (50.09%), Node Gischeren (50.09%), Node Schuettstein (50.09%);1.41237;0.0336778;0.406232;0.148481
sim_0048;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0048;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_0;0.00088434;T3;NO;;YES;50.93;Node Brunnm_Fassung (50.93%), Node Brunnmuehle(Teich) (50.93%), Node Fensterstollen (50.93%), Node Gischeren (50.93%), Node Schuettstein (50.93%);1.4352;0.0338489;0.40622;0.125669
sim_0049;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0049;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_1;0.00015606;T3;NO;;YES;50.22;Node Brunnm_Fassung (50.22%), Node Brunnmuehle(Teich) (50.22%), Node Fensterstollen (50.22%), Node Gischeren (50.22%), Node Schuettstein (50.22%);1.43521;0.0338489;0.40622;0.12567
sim_0050;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0050;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_2;0.00015606;T3;NO;;YES;50.4;Node Brunnm_Fassung (50.40%), Node Brunnmuehle(Teich) (50.40%), Node Fensterstollen (50.40%), Node Gischeren (50.40%), Node Schuettstein (50.40%);1.43522;0.0338489;0.40622;0.125669
sim_0051;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0051;scenario1;1_1b;1_1a-1_1a_1+1_1a_2+1_1a_3__1_1b-1_1b_0;0.00015606;T3;NO;;YES;49.6;Node Brunnm_Fassung (49.60%), Node Brunnmuehle(Teich) (49.60%), Node Fensterstollen (49.60%), Node Gischeren (49.60%), Node Schuettstein (49.60%);1.44587;0.0339852;0.40621;0.110171
sim_0052;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0052;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_0;0.478494277708;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0053;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0053;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_1;0.00434555852611;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0054;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0054;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_2;0.00434555852611;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0055;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0055;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_3;0.00434555852611;T3;NO;;YES;48.95;Node Brunnm_Fassung (48.95%), Node Brunnmuehle(Teich) (48.95%), Node Fensterstollen (48.95%), Node Gischeren (48.95%), Node Schuettstein (48.95%);1.37047;0.0332955;0.406679;0.00525742
sim_0056;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0056;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_4;0.00434555852611;T3;NO;;YES;40.36;Node Brunnm_Fassung (40.36%), Node Brunnmuehle(Teich) (40.36%), Node Fensterstollen (40.36%), Node Gischeren (40.36%), Node Schuettstein (40.36%);1.29535;0.034433;0.387777;1.62198
sim_0057;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0057;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_0;0.0844401666544;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0058;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0058;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_1;0.000766863269313;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0059;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_2a\sim_0059;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_1__1_2a-1_2a_2;0.000766863269313;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
