simulation_id;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0286;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_2;5.12091872723e-08;Q14_7;YES;Amont_C;1.31;0.0318;0.413;0.936
sim_0287;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_3;5.12091872723e-08;Q14_7;YES;Amont_C;1.28;0.0311;0.413;1.22
sim_0288;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C;0.865;0.0152;0.311;10.5
sim_0289;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_2+1_2a_3;5.12091872723e-08;Q14_7;YES;Amont_C;1.28;0.0312;0.413;1.1
sim_0290;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_2+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C, Syst_Est_interm;0.855;0.0145;0.308;9.64
sim_0291;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_3+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C;0.856;0.0149;0.311;10.5
sim_0292;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3;4.65068300152e-10;Q14_7;YES;Amont_C;1.28;0.0318;0.413;0.949
sim_0293;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C, Syst_Est_interm;0.861;0.0151;0.311;9.5
sim_0294;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_3+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C;0.852;0.0152;0.311;10.5
sim_0295;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_2+1_2a_3+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C, Syst_Est_interm;0.843;0.0145;0.308;9.64
sim_0296;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;4.2236273475e-12;Q14_7;YES;Amont_C, Syst_Est_interm;0.848;0.0152;0.311;9.5
sim_0297;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_0;0.000624435075;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.999
sim_0298;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1;5.63870050966e-06;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.902
sim_0299;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_2;5.63870050966e-06;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.833
sim_0300;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_3;5.63870050966e-06;Q14_7;YES;Amont_C;1.28;0.0311;0.413;1.01
sim_0301;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_4;5.63870050966e-06;Q14_7;YES;Amont_C;0.864;0.0143;0.309;8.59
sim_0302;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_2;5.12091872723e-08;Q14_7;YES;Amont_C;1.31;0.0317;0.413;0.679
sim_0303;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_3;5.12091872723e-08;Q14_7;YES;Amont_C;1.28;0.0311;0.413;0.916
sim_0304;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C;0.861;0.0149;0.309;8.6
sim_0305;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_2+1_2a_3;5.12091872723e-08;Q14_7;YES;Amont_C;1.28;0.0311;0.413;0.837
sim_0306;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_2+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C;0.863;0.0149;0.31;8.32
sim_0307;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_3+1_2a_4;5.12091872723e-08;Q14_7;YES;Amont_C;0.851;0.0143;0.309;8.6
sim_0308;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3;4.65068300152e-10;Q14_7;YES;Amont_C;1.28;0.0317;0.413;0.693
sim_0309;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C;0.864;0.0154;0.312;8.27
sim_0310;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_3+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C;0.848;0.0149;0.31;8.6
sim_0311;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_2+1_2a_3+1_2a_4;4.65068300152e-10;Q14_7;YES;Amont_C;0.85;0.0149;0.31;8.32
sim_0312;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;4.2236273475e-12;Q14_7;YES;Amont_C;0.851;0.0155;0.312;8.28
sim_0313;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3__1_2a-1_2a_0;0.000110194425;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.08
sim_0314;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3__1_2a-1_2a_1;9.95064795821e-07;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.986
sim_0315;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3__1_2a-1_2a_2;9.95064795821e-07;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.927
sim_0316;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3__1_2a-1_2a_3;9.95064795821e-07;Q14_7;YES;Amont_C;1.28;0.0311;0.413;1.1
sim_0317;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3__1_2a-1_2a_4;9.95064795821e-07;Q14_7;YES;Amont_C;0.87;0.0143;0.31;8.33
